obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""400.0801""","=""0.0004""","=""400.080175""","=""0.000018""","=""23""","=""""",,"=""82978.717""","=""107966.642""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""""","=""L18349c139""",
"=""400.2906""","=""0.0003""","=""400.290562""","=""0.000019""","=""20""","=""""",,"=""89119.452""","=""114094.244""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).6d""","=""114094""","=""5/2""",,"=""""","=""L18349c139""",
"=""400.6392""","=""0.0003""","=""400.639494""","=""0.000021""","=""35""","=""""",,"=""81639.253""","=""106592.294""","=""3d5.4s2""","=""2F2""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
"=""400.8090""","=""0.0006""","=""400.808411""","=""0.000018""","=""9""","=""""",,"=""88614.523""","=""113557.048""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""401.0835""","=""0.0003""","=""401.08384""","=""0.00004""","=""14""","=""""",,"=""87471.789""","=""112397.186""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""401.1308""","=""0.0003""","=""401.130898""","=""0.000019""","=""16""","=""""",,"=""89471.372""","=""114393.845""","=""3d6.(5D).5p""","=""6D*""","=""1/2""","=""3d6.(5D).6d""","=""114393""","=""3/2""",,"=""""","=""L18349c139""",
"=""401.2742""","=""0.0003""","=""401.274280""","=""0.000019""","=""22""","=""""",,"=""88614.523""","=""113528.091""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""11/2""",,"=""""","=""L18349c139""",
"=""401.4205""","=""0.0003""","=""401.42099""","=""0.00003""","=""33""","=""""",,"=""79284.919""","=""104189.382""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""5/2""","=""3d6.(3H).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""402.08874""","=""0.00014""","=""402.088802""","=""0.000020""","=""30""","=""""",,"=""88853.535""","=""113716.636""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).6d""","=""113716""","=""7/2""",,"=""""","=""L18349c139""",
"=""402.4552""","=""0.0015""","=""402.45505""","=""0.00003""","=""350""","=""2.5e+05""",D,"=""36252.931""","=""61093.406""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""",,"=""T6892c83""","=""L7357""",
"=""402.56554""","=""0.00011""","=""402.565662""","=""0.000020""","=""50""","=""""",,"=""88723.398""","=""113557.048""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""402.6580""","=""0.0005""","=""402.657874""","=""0.000018""","=""21""","=""""",,"=""89128.569""","=""113956.532""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""402.8670""","=""0.0003""","=""402.867247""","=""0.000018""","=""17""","=""""",,"=""89119.452""","=""113934.512""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""403.03559""","=""0.00007""","=""403.035627""","=""0.000023""","=""60""","=""""",,"=""88723.398""","=""113528.091""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).6d""","=""6F""","=""11/2""",,"=""""","=""L18349c139""",
"=""403.12399""","=""0.00015""","=""403.12441""","=""0.00003""","=""80bl(Fe I)""","=""""",,"=""79243.462""","=""104042.692""","=""3d6.(1D2).4p""","=""w 2P*""","=""3/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""""","=""L18349c148""",
"=""403.14317""","=""0.00019""","=""403.143466""","=""0.000020""","=""20""","=""""",,"=""89444.455""","=""114242.513""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6d""","=""114242""","=""5/2""",,"=""""","=""L18349c139""",
"=""403.7477""","=""0.0004""","=""403.747128""","=""0.000020""","=""70""","=""""",,"=""59663.440""","=""84424.422""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(5D).4d""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
"=""404.2733""","=""0.0003""","=""404.273097""","=""0.000020""","=""16""","=""""",,"=""89444.455""","=""114173.223""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""404.6866""","=""0.0003""","=""404.686404""","=""0.000018""","=""17""","=""""",,"=""88853.535""","=""113557.048""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""405.24985""","=""0.00012""","=""405.24975""","=""0.00007""","=""60""","=""""",,"=""83868.450""","=""108537.623""","=""3d6.(1F).4p""","=""v 2D*""","=""5/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""405.4716""","=""0.0005""","=""405.471726""","=""0.000020""","=""70""","=""""",,"=""60807.239""","=""85462.907""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""405.6615""","=""0.0003""","=""405.661549""","=""0.000021""","=""11""","=""""",,"=""90386.533""","=""115030.664""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""405.84823""","=""0.00011""","=""405.848304""","=""0.000020""","=""33""","=""""",,"=""90397.873""","=""115030.664""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""406.0717""","=""0.0003""","=""406.07168""","=""0.00003""","=""33""","=""1.6e+06""",D+,"=""79331.361""","=""103950.602""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""7/2""","=""3d6.(5D).5d""","=""6F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""406.6311""","=""0.0016""","=""406.630752""","=""0.000020""","=""24""","=""""",,"=""78525.442""","=""103110.835""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""","=""3d6.(5D<4>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L18349c139""",
"=""406.9610""","=""0.0004""","=""406.960825""","=""0.000020""","=""12""","=""""",,"=""89444.455""","=""114009.908""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6d""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""407.2268""","=""0.0003""","=""407.227492""","=""0.000023""","=""21""","=""""",,"=""83990.106""","=""108539.473""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""""","=""L18349c139""",
"=""407.5812""","=""0.0006""","=""407.580534""","=""0.000025""","=""15""","=""""",,"=""83558.569""","=""108086.672""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D).6p""","=""4P*""","=""1/2""",,"=""""","=""L18349c139""",
"=""407.59428""","=""0.00007""","=""407.59491""","=""0.00003""","=""500""","=""1.6e+03""",E,"=""20516.9534""","=""45044.1916""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
"=""""","=""""","=""408.727543""","=""0.000015""","=""""","=""3.e+03""",E,"=""20830.5534""","=""45289.8248""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""",,"=""T6892c83""","=""""",
"=""410.5365""","=""0.0008""","=""410.53675""","=""0.00003""","=""23""","=""""",,"=""79245.926""","=""103597.409""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""3/2""","=""3d6.(3P2).4d""","=""2F""","=""5/2""",,"=""""","=""L18349c139""",
"=""411.4539""","=""0.0004""","=""411.454523""","=""0.000024""","=""170""","=""""",,"=""60887.606""","=""85184.773""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""",,"=""""","=""L18349c139""",
"=""412.2638""","=""0.0015""","=""412.265907""","=""0.000014""","=""130""","=""3.e+04""",E,"=""20830.5534""","=""45079.9019""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""T6892c83""","=""L7357""",
"=""412.4401""","=""0.0003""","=""412.439590""","=""0.000019""","=""24""","=""""",,"=""82978.717""","=""107217.854""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
"=""412.4793""","=""0.0015""","=""412.478262""","=""0.000024""","=""26""","=""3.e+03""",E,"=""20516.9534""","=""44753.8179""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T6892c83""","=""L7357""",
"=""412.8735""","=""0.0015""","=""412.873929""","=""0.000014""","=""80""","=""2.6e+04""",E,"=""20830.5534""","=""45044.1916""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T6892c83""","=""L7357""",
"=""412.9854""","=""0.0005""","=""412.98495""","=""0.00003""","=""12""","=""""",,"=""89727.383""","=""113934.512""","=""3d6.(3F1).4p""","=""4G*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""414.25886""","=""0.00013""","=""414.258515""","=""0.000021""","=""50bl(Fe I)""","=""""",,"=""84870.911""","=""109003.621""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""3/2""",,"=""""","=""L18349c148""",
"=""414.8796""","=""0.0008""","=""414.879625""","=""0.000019""","=""8""","=""""",,"=""90487.827""","=""114584.409""","=""3d6.(5D).5p""","=""6F*""","=""5/2""","=""3d6.(5D).6d""","=""114584""","=""5/2""",,"=""""","=""L18349c146""",
"=""415.02486""","=""0.00003""","=""415.02472""","=""0.00007""","=""1500bl(Fe I)""","=""""",,"=""49100.956""","=""73189.114""","=""3d6.(3P1).4s""","=""c 4P""","=""1/2""","=""3d6.(3D).4p""","=""y 2P*""","=""3/2""",,"=""""","=""L18349c148""",
"=""415.1618""","=""0.0004""","=""415.161136""","=""0.000022""","=""8""","=""""",,"=""90593.511""","=""114673.754""","=""3d6.(5D).5p""","=""6F*""","=""3/2""","=""3d6.(5D).6d""","=""114673""","=""1/2""",,"=""""","=""L18349c139""",
"=""415.3737""","=""0.0004""","=""415.37357""","=""0.00014""","=""12""","=""""",,"=""86543.902""","=""110611.830""","=""3d6.(3P1).4p""","=""v 4D*""","=""3/2""","=""3d6.(3G).4d""","=""2F""","=""5/2""",,"=""""","=""L18349c139""",
"=""415.8735""","=""0.0002""","=""415.873205""","=""0.000019""","=""50""","=""""",,"=""82853.704""","=""106892.717""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c139""",
"=""416.4231""","=""0.0005""","=""416.423024""","=""0.000019""","=""12""","=""""",,"=""90638.823""","=""114646.097""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""416.5529""","=""0.0004""","=""416.552813""","=""0.000024""","=""21""","=""""",,"=""89625.951""","=""113625.745""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""1/2""",,"=""""","=""L18349c139""",
"=""416.70724""","=""0.00011""","=""416.707277""","=""0.000023""","=""40""","=""""",,"=""90593.511""","=""114584.409""","=""3d6.(5D).5p""","=""6F*""","=""3/2""","=""3d6.(5D).6d""","=""114584""","=""5/2""",,"=""""","=""L18349c139""",
"=""416.7294""","=""0.0003""","=""416.729407""","=""0.000024""","=""16""","=""""",,"=""90300.628""","=""114290.252""","=""3d6.(5D).5p""","=""6F*""","=""7/2""","=""3d6.(5D).6d""","=""6G""","=""9/2""",,"=""""","=""L18349c139""",
"=""416.7574""","=""0.0002""","=""416.757638""","=""0.000019""","=""16""","=""""",,"=""90487.827""","=""114475.826""","=""3d6.(5D).5p""","=""6F*""","=""5/2""","=""3d6.(5D).6d""","=""114475""","=""5/2""",,"=""""","=""L18349c139""",
"=""416.8967""","=""0.0003""","=""416.89624""","=""0.00005""","=""26""","=""""",,"=""92358.625""","=""116338.649""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""3/2""","=""3d5.4s.(5S).4d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""417.2856""","=""0.0003""","=""417.285779""","=""0.000019""","=""16""","=""""",,"=""90638.823""","=""114596.462""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).6d""","=""114596""","=""3/2""",,"=""""","=""L18349c139""",
"=""417.33147""","=""0.00002""","=""417.331715""","=""0.000019""","=""220bl(Fe I)""","=""""",,"=""90397.873""","=""114352.875""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).6d""","=""114352""","=""5/2""",,"=""""","=""L18349c148""",
"=""417.3450""","=""0.0015""","=""417.345122""","=""0.000014""","=""800""","=""4.4e+05""",C+,"=""20830.5534""","=""44784.7859""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T7589""","=""L7357,L18198""",
"=""417.58308""","=""0.00010""","=""417.583072""","=""0.000019""","=""40""","=""""",,"=""90487.827""","=""114428.410""","=""3d6.(5D).5p""","=""6F*""","=""5/2""","=""3d6.(5D).6d""","=""114428""","=""7/2""",,"=""""","=""L18349c139""",
"=""417.6003""","=""0.0004""","=""417.60046""","=""0.00012""","=""70""","=""""",,"=""54902.286""","=""78841.872""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d6.(1D2).4p""","=""w 2P*""","=""1/2""",,"=""""","=""L18349c139""",
"=""417.88546""","=""0.00019""","=""417.885374""","=""0.000021""","=""210""","=""1.7e+05""",C,"=""20830.5534""","=""44753.8179""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T7589""","=""L18349c139""",
"=""418.0613""","=""0.0003""","=""418.060783""","=""0.000019""","=""60""","=""""",,"=""79439.496""","=""103352.723""","=""3d6.(5D).5s""","=""e 4D""","=""7/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c139""",
"=""418.0823""","=""0.0007""","=""418.082865""","=""0.000019""","=""16""","=""""",,"=""83459.721""","=""107371.685""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""418.09796""","=""0.00005""","=""""","=""2.2e+04""",E,"=""38214.503""","=""62125.604""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""T6892c83""","=""""",
"=""418.19653""","=""0.00009""","=""418.197001""","=""0.000021""","=""50""","=""""",,"=""90901.130""","=""114806.568""","=""3d6.(5D).5p""","=""4P*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c145""",
"=""418.2269""","=""0.0003""","=""418.227075""","=""0.000019""","=""16""","=""""",,"=""90386.533""","=""114290.252""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).6d""","=""6G""","=""9/2""",,"=""""","=""L18349c139""",
"=""418.42560""","=""0.00010""","=""418.425582""","=""0.000019""","=""40""","=""""",,"=""90397.873""","=""114290.252""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).6d""","=""6G""","=""9/2""",,"=""""","=""L18349c139""",
"=""418.4815""","=""0.0003""","=""418.481702""","=""0.000021""","=""17""","=""""",,"=""90067.357""","=""113956.532""","=""3d6.(3F1).4p""","=""4G*""","=""9/2""","=""3d6.(5D).6d""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""418.8976""","=""0.0006""","=""418.897308""","=""0.000019""","=""8""","=""""",,"=""90780.623""","=""114646.097""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""419.00134""","=""0.00008""","=""419.001386""","=""0.000021""","=""50""","=""""",,"=""90300.628""","=""114160.174""","=""3d6.(5D).5p""","=""6F*""","=""7/2""","=""3d6.(5D).6d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""419.8355""","=""0.0002""","=""419.835441""","=""0.000023""","=""15""","=""""",,"=""91167.936""","=""114980.083""","=""3d6.(5D).5p""","=""w 6P*""","=""7/2""","=""3d6.(5D).6d""","=""6P""","=""7/2""",,"=""""","=""L18349c139""",
"=""419.94838""","=""0.00003""","=""419.948454""","=""0.000021""","=""170""","=""""",,"=""89924.150""","=""113729.889""","=""3d6.(5D).5p""","=""6F*""","=""11/2""","=""3d6.(5D).6d""","=""6G""","=""13/2""",,"=""""","=""L18349c139""",
"=""420.05170""","=""0.00007""","=""420.051750""","=""0.000020""","=""70""","=""""",,"=""90067.357""","=""113867.242""","=""3d6.(3F1).4p""","=""4G*""","=""9/2""","=""3d6.(5D).6d""","=""6G""","=""11/2""",,"=""""","=""L18349c139""",
"=""420.2330""","=""0.0004""","=""420.233584""","=""0.000020""","=""16bl(Fe I)""","=""""",,"=""90638.823""","=""114428.410""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).6d""","=""114428""","=""7/2""",,"=""""","=""L18349c148""",
"=""420.2987""","=""0.0002""","=""420.298796""","=""0.000020""","=""18""","=""""",,"=""89444.455""","=""113230.351""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
"=""420.4854""","=""0.0003""","=""420.485231""","=""0.000020""","=""12""","=""""",,"=""90397.873""","=""114173.223""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""420.5153""","=""0.0002""","=""420.515459""","=""0.000020""","=""16""","=""""",,"=""90386.533""","=""114160.174""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).6d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""420.55382""","=""0.00003""","=""420.55355""","=""0.00004""","=""500bl(Fe I)""","=""""",,"=""79331.361""","=""103102.849""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""7/2""","=""3d6.(3P2).4d""","=""4D""","=""7/2""",,"=""""","=""L18349c148""",
"=""420.55890""","=""0.00004""","=""420.558942""","=""0.000021""","=""140""","=""""",,"=""90386.533""","=""114157.716""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""11/2""",,"=""""","=""L18349c139""",
"=""420.77486""","=""0.00019""","=""420.774970""","=""0.000020""","=""27""","=""""",,"=""89471.372""","=""113230.351""","=""3d6.(5D).5p""","=""6D*""","=""1/2""","=""3d6.(5D).7s""","=""6D""","=""3/2""",,"=""""","=""L18349c139""",
"=""420.7861""","=""0.0002""","=""420.786234""","=""0.000020""","=""19""","=""""",,"=""91048.225""","=""114806.568""","=""3d6.(3P1).5p""","=""4P*""","=""3/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c139""",
"=""420.81605""","=""0.00017""","=""420.815973""","=""0.000020""","=""33""","=""""",,"=""89119.452""","=""112876.116""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).7s""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""421.02324""","=""0.00016""","=""421.023275""","=""0.000020""","=""27""","=""""",,"=""90901.130""","=""114646.097""","=""3d6.(5D).5p""","=""4P*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""421.6570""","=""0.0004""","=""421.657008""","=""0.000020""","=""12""","=""""",,"=""90300.628""","=""114009.908""","=""3d6.(5D).5p""","=""6F*""","=""7/2""","=""3d6.(5D).6d""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""421.78938""","=""0.00008""","=""421.789351""","=""0.000021""","=""70""","=""""",,"=""90780.623""","=""114482.464""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""9/2""",,"=""""","=""L18349c139""",
"=""421.8220""","=""0.0004""","=""421.821261""","=""0.000020""","=""23""","=""1.5e+05""",D,"=""84266.594""","=""107966.642""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""422.28911""","=""0.00003""","=""422.289173""","=""0.000023""","=""170""","=""""",,"=""88723.398""","=""112397.186""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""422.417129""","=""0.000020""","=""422.41650""","=""0.00005""","=""1600bl(Fe I)""","=""""",,"=""89890.396""","=""113557.048""","=""3d6.(3F1).4p""","=""4G*""","=""7/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c148""",
"=""422.60787""","=""0.00013""","=""422.607699""","=""0.000020""","=""40bl(Fe II)*""","=""""",,"=""89331.199""","=""112987.144""","=""3d6.(5D).5p""","=""6D*""","=""3/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c148""",
"=""422.60787""","=""0.00013""","=""422.608432""","=""0.000020""","=""40bl(Fe II)*""","=""""",,"=""90300.628""","=""113956.532""","=""3d6.(5D).5p""","=""6F*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""9/2""",,"=""""","=""L18349c148""",
"=""422.88067""","=""0.00017""","=""422.88116""","=""0.00007""","=""50""","=""""",,"=""86929.664""","=""110570.312""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""","=""3d6.(3G).4d""","=""2F""","=""7/2""",,"=""""","=""L18349c148""",
"=""423.0200""","=""0.0003""","=""423.019838""","=""0.000020""","=""17""","=""""",,"=""89924.150""","=""113557.048""","=""3d6.(5D).5p""","=""6F*""","=""11/2""","=""3d6.(5D).6d""","=""6F""","=""9/2""",,"=""""","=""L18349c139""",
"=""423.2240""","=""0.0002""","=""423.22405""","=""0.00020""","=""23""","=""""",,"=""80346.060""","=""103967.555""","=""3d6.(5D).5s""","=""e 4D""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2S*""","=""1/2""",,"=""""","=""L18349c139""",
"=""423.31627""","=""0.00004""","=""423.316223""","=""0.000020""","=""1000""","=""7.2e+05""",C+,"=""20830.5534""","=""44446.9051""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T7589""","=""L18349c139""",
"=""423.39332""","=""0.00010""","=""423.393615""","=""0.000020""","=""50""","=""""",,"=""90397.873""","=""114009.908""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).6d""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""423.53870""","=""0.00006""","=""423.538803""","=""0.000020""","=""70bl(Fe I)""","=""""",,"=""89924.150""","=""113528.091""","=""3d6.(5D).5p""","=""6F*""","=""11/2""","=""3d6.(5D).6d""","=""6F""","=""11/2""",,"=""""","=""L18349c148""",
"=""423.65118""","=""0.00013""","=""423.651251""","=""0.000022""","=""40""","=""""",,"=""91208.892""","=""114806.568""","=""3d6.(5D).5p""","=""4F*""","=""3/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c139""",
"=""424.01067""","=""0.00009""","=""424.01133""","=""0.00004""","=""19bl(Ne)""","=""""",,"=""104315.373""","=""127893.010""","=""3d6.(3H).4d""","=""2K""","=""13/2""","=""3d6.(3G<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c148""",
"=""424.04893""","=""0.00013""","=""424.049203""","=""0.000022""","=""35""","=""""",,"=""91070.566""","=""114646.097""","=""3d6.(5D).5p""","=""4F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""424.0640""","=""0.0004""","=""424.064223""","=""0.000023""","=""20""","=""""",,"=""90901.130""","=""114475.826""","=""3d6.(5D).5p""","=""4P*""","=""5/2""","=""3d6.(5D).6d""","=""114475""","=""5/2""",,"=""""","=""L18349c139""",
"=""424.4537""","=""0.0003""","=""424.453454""","=""0.000022""","=""20""","=""""",,"=""90780.623""","=""114333.701""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(5D).6d""","=""114333""","=""7/2""",,"=""""","=""L18349c139""",
"=""424.62345""","=""0.00005""","=""424.623411""","=""0.000022""","=""100""","=""""",,"=""88853.535""","=""112397.186""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""424.9993""","=""0.0004""","=""424.999215""","=""0.000022""","=""15""","=""""",,"=""84424.422""","=""107947.255""","=""3d6.(5D).4d""","=""6P""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""3/2""",,"=""""","=""L18349c139""",
"=""425.0429""","=""0.0003""","=""425.042546""","=""0.000020""","=""140""","=""1.2e+06""",D+,"=""61974.931""","=""85495.366""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d6.(5D).4d""","=""6S""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""425.2765""","=""0.0003""","=""425.275815""","=""0.000020""","=""36""","=""""",,"=""82853.704""","=""106361.238""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D).6p""","=""6D*""","=""9/2""",,"=""""","=""L18349c139""",
"=""425.6267""","=""0.0003""","=""425.626878""","=""0.000020""","=""19""","=""""",,"=""89119.452""","=""112607.597""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""425.7618""","=""0.0004""","=""425.761671""","=""0.000024""","=""13""","=""""",,"=""90386.533""","=""113867.242""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).6d""","=""6G""","=""11/2""",,"=""""","=""L18349c139""",
