obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""445.96782""","=""0.00015""","=""445.967779""","=""0.000020""","=""28""","=""""",,"=""91208.892""","=""113625.745""","=""3d6.(5D).5p""","=""4F*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""1/2""",,"=""""","=""L18349c139""",
"=""446.08931""","=""0.00011""","=""446.089468""","=""0.000020""","=""40""","=""""",,"=""91070.566""","=""113481.304""","=""3d6.(5D).5p""","=""4F*""","=""5/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""446.17108""","=""0.00020""","=""446.17060""","=""0.00004""","=""90""","=""5.e+05""",D,"=""50212.836""","=""72619.499""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""446.95870""","=""0.00020""","=""446.95864""","=""0.00004""","=""70""","=""1.9e+06""",D+,"=""79331.361""","=""101698.519""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""7/2""","=""3d6.(5D).6s""","=""6D""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""447.029751""","=""0.000014""","=""""","=""2.51e-02""",C+,"=""667.6829""","=""23031.2829""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""",M1,"=""T6677""","=""""",
"=""447.11125""","=""0.00019""","=""447.111143""","=""0.000022""","=""40""","=""3.8e+05""",E,"=""86124.348""","=""108483.877""","=""3d6.(5D).4d""","=""e 4F""","=""9/2""","=""3d6.(3H).5p""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""447.2921""","=""0.0015""","=""447.292295""","=""0.000016""","=""60""","=""2.5e+04""",E,"=""22939.3512""","=""45289.8248""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""",,"=""T6892c83""","=""L7357""",
"=""""","=""""","=""447.490277""","=""0.000014""","=""""","=""2.27e-01""",C,"=""977.0498""","=""23317.6351""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d5.4s2""","=""a 6S""","=""5/2""",E2,"=""T6677""","=""""",
"=""447.5533""","=""0.0002""","=""447.553730""","=""0.000022""","=""21""","=""""",,"=""90898.878""","=""113236.296""","=""3d6.(5D).5p""","=""4D*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""447.7360""","=""0.0008""","=""447.73630""","=""0.00003""","=""6""","=""""",,"=""92154.154""","=""114482.464""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""9/2""",,"=""""","=""L18349c139""",
"=""447.9802""","=""0.0019""","=""447.979426""","=""0.000020""","=""9""","=""""",,"=""92329.905""","=""114646.097""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c139""",
"=""448.16475""","=""0.00013""","=""448.16465""","=""0.00003""","=""33""","=""""",,"=""90300.628""","=""112607.597""","=""3d6.(5D).5p""","=""6F*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""448.8081""","=""0.0007""","=""448.807724""","=""0.000020""","=""18""","=""""",,"=""85184.773""","=""107459.780""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""448.875005""","=""0.000012""","=""""","=""1.35e-01""",C,"=""667.6829""","=""22939.3512""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",M1,"=""T6677""","=""""",
"=""448.9185""","=""0.0015""","=""448.917582""","=""0.000012""","=""140""","=""6.e+04""",E,"=""22810.3459""","=""45079.9019""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""T6892c83""","=""L7357""",
